timestamp_ms,can_id,temp_c,volt_v,curr_a,fault_flags
0,0x100,40.29,3.707,0.000,0x0
100,0x100,41.50,3.710,-6.239,0x0
200,0x100,42.79,3.715,-5.834,0x0
300,0x100,44.08,3.720,-5.141,0x0
400,0x100,45.37,3.725,-5.115,0x0
500,0x100,46.66,3.730,-5.625,0x0
600,0x100,47.87,3.734,-5.111,0x0
700,0x100,49.08,3.739,-5.825,0x0
800,0x100,50.29,3.744,-6.130,0x0
900,0x100,51.49,3.749,-6.213,0x0
1000,0x100,52.62,3.754,-5.834,0x0
1100,0x100,53.75,3.759,-6.178,0x0
1200,0x100,54.80,3.763,-6.095,0x0
1300,0x100,55.85,3.768,-5.316,0x0
1400,0x100,56.89,3.773,-6.052,0x0
1500,0x100,57.86,3.778,-5.137,0x0
1600,0x100,58.75,3.783,-5.146,0x0
1700,0x100,59.63,3.788,-5.655,0x0
1800,0x100,60.44,3.792,-5.451,0x1
1900,0x100,61.25,3.797,-5.956,0x1
2000,0x100,61.97,3.802,-5.459,0x1
2100,0x100,62.62,3.805,-5.864,0x1
2200,0x100,63.26,3.810,-5.372,0x1
2300,0x100,63.82,3.815,-5.050,0x1
2400,0x100,64.31,3.820,-6.313,0x1
2500,0x100,64.71,3.825,-5.076,0x1
2600,0x100,65.11,3.829,-5.176,0x1
2700,0x100,65.44,3.833,-6.108,0x1
2800,0x100,65.68,3.838,-5.411,0x1
2900,0x100,65.84,3.842,-5.512,0x1
3000,0x100,66.00,3.846,-5.111,0x1
3100,0x100,66.00,3.850,-6.322,0x1
3200,0x100,66.00,3.855,-5.072,0x1
3300,0x100,65.92,3.860,-5.150,0x1
3400,0x100,65.84,3.863,-6.065,0x1
3500,0x100,65.60,3.868,-5.882,0x1
3600,0x100,65.36,3.871,-6.200,0x1
3700,0x100,65.03,3.876,-5.751,0x1
3800,0x100,64.63,3.879,-5.803,0x1
3900,0x100,64.23,3.884,-5.390,0x1
4000,0x100,63.66,3.887,-5.895,0x1
4100,0x100,63.10,3.892,-5.764,0x1
4200,0x100,62.53,3.896,-5.198,0x1
4300,0x100,61.81,3.900,-5.032,0x1
4400,0x100,61.08,3.904,-6.317,0x1
4500,0x100,60.28,3.907,-6.283,0x1
4600,0x100,59.47,3.912,-5.128,0x0
4700,0x100,58.59,3.915,-6.269,0x0
4800,0x100,57.70,3.918,-5.577,0x0
4900,0x100,56.73,3.923,-5.089,0x0
5000,0x100,55.68,3.926,-5.542,0x0
5100,0x100,54.64,3.929,-5.329,0x0
5200,0x100,53.51,3.933,-5.734,0x0
5300,0x100,52.46,3.936,-5.529,0x0
5400,0x100,51.25,3.939,-5.294,0x0
5500,0x100,50.12,3.942,-5.917,0x0
5600,0x100,48.92,3.945,-5.721,0x0
5700,0x100,47.63,3.949,-5.464,0x0
5800,0x100,46.42,3.952,-5.376,0x0
5900,0x100,45.13,3.955,-6.004,0x0
6000,0x100,43.92,3.958,-5.324,0x0
6100,0x100,42.63,3.962,-5.054,0x0
6200,0x100,41.34,3.965,-6.248,0x0
6300,0x100,40.05,3.968,-5.734,0x0
6400,0x100,38.76,3.970,-5.272,0x0
6500,0x100,37.47,3.973,-5.237,0x0
6600,0x100,36.18,3.976,-5.986,0x0
6700,0x100,34.89,3.978,-5.742,0x0
6800,0x100,33.68,3.981,-5.986,0x0
6900,0x100,32.40,3.983,-5.185,0x0
7000,0x100,31.19,3.986,-5.616,0x0
7100,0x100,29.98,3.987,-5.620,0x0
7200,0x100,28.85,3.991,-6.187,0x0
7300,0x100,27.72,3.992,-5.782,0x0
7400,0x100,26.59,3.995,-5.538,0x0
7500,0x100,25.55,3.997,-5.111,0x0
7600,0x100,24.50,3.999,-5.246,0x0
7700,0x100,23.45,4.000,-5.085,0x0
7800,0x100,22.48,4.004,-5.830,0x0
7900,0x100,21.60,4.005,-5.668,0x0
8000,0x100,20.71,4.007,-5.533,0x0
8100,0x100,19.90,4.008,-5.455,0x0
8200,0x100,19.18,4.010,-5.263,0x0
8300,0x100,18.45,4.012,-6.248,0x0
8400,0x100,17.81,4.013,-6.309,0x0
8500,0x100,17.16,4.015,-5.764,0x0
8600,0x100,16.60,4.016,-5.694,0x0
8700,0x100,16.12,4.016,-5.546,0x0
8800,0x100,15.71,4.018,-5.220,0x0
8900,0x100,15.31,4.020,-5.198,0x0
9000,0x100,15.07,4.021,-5.198,0x0
9100,0x100,14.83,4.021,-5.159,0x0
9200,0x100,14.67,4.023,-5.847,0x0
9300,0x100,14.51,4.023,-5.202,0x0
9400,0x100,14.51,4.024,-5.538,0x0
9500,0x100,14.51,4.024,-5.424,0x0
9600,0x100,14.59,4.026,-5.516,0x0
9700,0x100,14.75,4.026,-5.991,0x0
9800,0x100,14.91,4.026,-5.246,0x0
9900,0x100,15.15,4.028,-5.115,0x0
10000,0x100,15.55,4.028,-5.525,0x0
10100,0x100,15.96,4.028,-5.272,0x0
10200,0x100,16.36,4.028,-5.359,0x0
10300,0x100,16.92,4.028,-5.045,0x0
10400,0x100,17.49,4.028,-6.108,0x0
10500,0x100,18.13,4.028,-6.004,0x0
10600,0x100,18.78,4.028,-5.342,0x0
10700,0x100,19.50,4.028,-5.751,0x0
10800,0x100,20.31,4.028,-5.716,0x0
10900,0x100,21.19,4.028,-5.298,0x0
11000,0x100,22.08,4.028,-5.472,0x0
11100,0x100,22.97,4.028,-6.060,0x0
11200,0x100,23.93,4.026,-5.381,0x0
11300,0x100,24.98,4.026,-5.250,0x0
11400,0x100,26.03,4.026,-5.620,0x0
11500,0x100,27.16,4.024,-5.485,0x0
11600,0x100,28.29,4.024,-5.228,0x0
11700,0x100,29.41,4.023,-5.433,0x0
11800,0x100,30.62,4.023,-6.117,0x0
11900,0x100,31.83,4.021,-5.625,0x0
12000,0x100,33.04,4.020,-6.012,0x0
12100,0x100,34.33,4.020,-6.047,0x0
12200,0x100,35.54,4.018,-5.795,0x0
12300,0x100,36.83,4.016,-6.091,0x0
12400,0x100,38.12,4.015,-5.651,0x0
12500,0x100,39.41,4.013,-6.134,0x0
12600,0x100,40.70,4.012,-6.222,0x0
12700,0x100,41.99,4.010,-6.248,0x0
12800,0x100,43.27,4.008,-5.925,0x0
12900,0x100,44.56,4.007,-6.095,0x0
13000,0x100,45.77,4.005,-5.032,0x0
13100,0x100,47.06,4.004,-5.629,0x0
13200,0x100,48.27,4.002,-6.052,0x0
13300,0x100,49.48,4.000,-5.359,0x0
13400,0x100,50.69,3.999,-5.551,0x0
13500,0x100,51.90,3.995,-5.546,0x0
13600,0x100,53.03,3.994,-6.226,0x0
13700,0x100,54.07,3.992,-6.134,0x0
13800,0x100,55.20,3.989,-5.106,0x0
13900,0x100,56.17,3.987,-6.034,0x0
