timestamp_ms,can_id,temp_c,volt_v,curr_a,fault_flags
0,0x100,40.29,3.707,0.000,0x0
100,0x100,41.50,3.710,-5.951,0x0
200,0x100,42.79,3.715,-5.838,0x0
300,0x100,44.08,3.720,-5.912,0x0
400,0x100,45.37,3.725,-5.167,0x0
500,0x100,46.66,3.730,-5.886,0x0
600,0x100,47.87,3.734,-5.795,0x0
700,0x100,49.08,3.739,-6.047,0x0
800,0x100,50.29,3.744,-5.159,0x0
900,0x100,51.49,3.749,-5.337,0x0
1000,0x100,52.62,3.754,-5.346,0x0
1100,0x100,53.75,3.759,-6.256,0x0
1200,0x100,54.80,3.763,-5.742,0x0
1300,0x100,55.85,3.768,-5.825,0x0
1400,0x100,56.89,3.773,-6.169,0x0
1500,0x100,57.86,3.778,-5.119,0x0
1600,0x100,58.75,3.783,-5.995,0x0
1700,0x100,59.63,3.788,-5.333,0x0
1800,0x100,60.44,3.792,-5.346,0x1
1900,0x100,61.25,3.797,-6.165,0x1
2000,0x100,61.97,3.802,-5.098,0x1
2100,0x100,62.62,3.805,-5.255,0x1
2200,0x100,63.26,3.810,-6.043,0x1
2300,0x100,63.82,3.815,-5.241,0x1
2400,0x100,64.31,3.820,-5.516,0x1
2500,0x100,64.71,3.825,-5.747,0x1
2600,0x100,65.11,3.829,-5.681,0x1
2700,0x100,65.44,3.833,-5.533,0x1
2800,0x100,65.68,3.838,-5.102,0x1
2900,0x100,65.84,3.842,-5.986,0x1
3000,0x100,66.00,3.846,-5.067,0x1
3100,0x100,66.00,3.850,-5.111,0x1
3200,0x100,66.00,3.855,-5.599,0x1
3300,0x100,65.92,3.860,-5.895,0x1
3400,0x100,65.84,3.863,-5.799,0x1
3500,0x100,65.60,3.868,-5.093,0x1
3600,0x100,65.36,3.871,-5.786,0x1
3700,0x100,65.03,3.876,-5.930,0x1
3800,0x100,64.63,3.879,-5.738,0x1
3900,0x100,64.23,3.884,-5.699,0x1
4000,0x100,63.66,3.887,-5.668,0x1
4100,0x100,63.10,3.892,-5.372,0x1
4200,0x100,62.53,3.896,-6.178,0x1
4300,0x100,61.81,3.900,-6.130,0x1
4400,0x100,61.08,3.904,-5.703,0x1
4500,0x100,60.28,3.907,-5.620,0x1
4600,0x100,59.47,3.912,-6.043,0x0
4700,0x100,58.59,3.915,-5.681,0x0
4800,0x100,57.70,3.918,-6.265,0x0
4900,0x100,56.73,3.923,-5.215,0x0
5000,0x100,55.68,3.926,-6.143,0x0
5100,0x100,54.64,3.929,-6.156,0x0
5200,0x100,53.51,3.933,-5.590,0x0
