ts_ms,id,temp_c,volt_v,curr_a,fault
0,0x100,40.29,3.707,0.000,0x0
100,0x100,41.50,3.710,-6.026,0x0
200,0x100,42.79,3.715,-6.304,0x0
300,0x100,44.08,3.720,-5.490,0x0
400,0x100,45.37,3.725,-5.795,0x0
500,0x100,46.66,3.730,-5.965,0x0
600,0x100,47.87,3.734,-5.268,0x0
700,0x100,49.08,3.739,-5.594,0x0
800,0x100,50.29,3.744,-5.747,0x0
900,0x100,51.49,3.749,-6.143,0x0
1000,0x100,52.62,3.754,-5.586,0x0
1100,0x100,53.75,3.759,-5.289,0x0
1200,0x100,54.80,3.763,-5.416,0x0
1300,0x100,55.85,3.768,-5.999,0x0
1400,0x100,56.89,3.773,-5.699,0x0
1500,0x100,57.86,3.778,-5.507,0x0
1600,0x100,58.75,3.783,-6.121,0x0
1700,0x100,59.63,3.788,-5.416,0x0
1800,0x100,60.44,3.792,-5.777,0x1
1900,0x100,61.25,3.797,-6.065,0x1
2000,0x100,61.97,3.802,-5.028,0x1
2100,0x100,62.62,3.805,-5.808,0x1
2200,0x100,63.26,3.810,-6.021,0x1
2300,0x100,63.82,3.815,-6.235,0x1
2400,0x100,64.31,3.820,-5.599,0x1
2500,0x100,64.71,3.825,-5.272,0x1
2600,0x100,65.11,3.829,-5.655,0x1
2700,0x100,65.44,3.833,-6.087,0x1
2800,0x100,65.68,3.838,-5.877,0x1
2900,0x100,65.84,3.842,-5.681,0x1
3000,0x100,66.00,3.846,-5.607,0x1
3100,0x100,66.00,3.850,-6.056,0x1
3200,0x100,66.00,3.855,-5.873,0x1
3300,0x100,65.92,3.860,-6.174,0x1
3400,0x100,65.84,3.863,-5.573,0x1
3500,0x100,65.60,3.868,-5.825,0x1
3600,0x100,65.36,3.871,-6.300,0x1
3700,0x100,65.03,3.876,-5.634,0x1
3800,0x100,64.63,3.879,-5.651,0x1
3900,0x100,64.23,3.884,-6.121,0x1
4000,0x100,63.66,3.887,-5.080,0x1
4100,0x100,63.10,3.892,-6.322,0x1
4200,0x100,62.53,3.896,-5.037,0x1
4300,0x100,61.81,3.900,-6.178,0x1
4400,0x100,61.08,3.904,-5.847,0x1
4500,0x100,60.28,3.907,-5.812,0x1
4600,0x100,59.47,3.912,-6.117,0x0
4700,0x100,58.59,3.915,-6.317,0x0
4800,0x100,57.70,3.918,-6.322,0x0
4900,0x100,56.73,3.923,-6.095,0x0
5000,0x100,55.68,3.926,-5.973,0x0
5100,0x100,54.64,3.929,-6.139,0x0
5200,0x100,53.51,3.933,-5.938,0x0
5300,0x100,52.46,3.936,-6.213,0x0
5400,0x100,51.25,3.939,-5.272,0x0
5500,0x100,50.12,3.942,-5.080,0x0
5600,0x100,48.92,3.945,-5.403,0x0
5700,0x100,47.63,3.949,-5.211,0x0
5800,0x100,46.42,3.952,-6.182,0x0
5900,0x100,45.13,3.955,-6.134,0x0
6000,0x100,43.92,3.958,-5.999,0x0
6100,0x100,42.63,3.962,-6.039,0x0
6200,0x100,41.34,3.965,-5.616,0x0
6300,0x100,40.05,3.968,-5.904,0x0
6400,0x100,38.76,3.970,-5.233,0x0
6500,0x100,37.47,3.973,-6.004,0x0
6600,0x100,36.18,3.976,-6.087,0x0
6700,0x100,34.89,3.978,-5.538,0x0
6800,0x100,33.68,3.981,-5.773,0x0
6900,0x100,32.40,3.983,-5.899,0x0
7000,0x100,31.19,3.986,-5.198,0x0
7100,0x100,29.98,3.987,-5.795,0x0
7200,0x100,28.85,3.991,-5.982,0x0
7300,0x100,27.72,3.992,-5.790,0x0
7400,0x100,26.59,3.995,-5.032,0x0
7500,0x100,25.55,3.997,-5.873,0x0
7600,0x100,24.50,3.999,-6.134,0x0
7700,0x100,23.45,4.000,-5.843,0x0
7800,0x100,22.48,4.004,-5.481,0x0
7900,0x100,21.60,4.005,-5.320,0x0
8000,0x100,20.71,4.007,-5.294,0x0
8100,0x100,19.90,4.008,-5.098,0x0
8200,0x100,19.18,4.010,-5.150,0x0
8300,0x100,18.45,4.012,-5.769,0x0
8400,0x100,17.81,4.013,-5.342,0x0
8500,0x100,17.16,4.015,-5.307,0x0
8600,0x100,16.60,4.016,-5.860,0x0
8700,0x100,16.12,4.016,-5.137,0x0
8800,0x100,15.71,4.018,-6.169,0x0
8900,0x100,15.31,4.020,-5.607,0x0
9000,0x100,15.07,4.021,-5.908,0x0
9100,0x100,14.83,4.021,-5.995,0x0
9200,0x100,14.67,4.023,-5.250,0x0
9300,0x100,14.51,4.023,-5.869,0x0
9400,0x100,14.51,4.024,-5.045,0x0
9500,0x100,14.51,4.024,-6.261,0x0
9600,0x100,14.59,4.026,-6.030,0x0
9700,0x100,14.75,4.026,-5.320,0x0
9800,0x100,14.91,4.026,-5.708,0x0
9900,0x100,15.15,4.028,-5.668,0x0
10000,0x100,15.55,4.028,-5.568,0x0
10100,0x100,15.96,4.028,-6.283,0x0
10200,0x100,16.36,4.028,-5.176,0x0
10300,0x100,16.92,4.028,-6.287,0x0
10400,0x100,17.49,4.028,-5.276,0x0
