timestamp_ms,can_id,temp_c,volt_v,curr_a,fault_flags
0,0x100,40.29,3.707,0.000,0x0
100,0x100,41.50,3.710,-6.026,0x0
200,0x100,42.79,3.715,-5.533,0x0
300,0x100,44.08,3.720,-5.642,0x0
400,0x100,45.37,3.725,-5.877,0x0
500,0x100,46.66,3.730,-5.716,0x0
600,0x100,47.87,3.734,-5.904,0x0
700,0x100,49.08,3.739,-5.372,0x0
800,0x100,50.29,3.744,-5.760,0x0
900,0x100,51.49,3.749,-5.072,0x0
1000,0x100,52.62,3.754,-5.468,0x0
1100,0x100,53.75,3.759,-6.130,0x0
1200,0x100,54.80,3.763,-5.398,0x0
1300,0x100,55.85,3.768,-6.239,0x0
1400,0x100,56.89,3.773,-5.420,0x0
1500,0x100,57.86,3.778,-5.525,0x0
1600,0x100,58.75,3.783,-5.864,0x0
1700,0x100,59.63,3.788,-6.034,0x0
1800,0x100,60.44,3.792,-5.986,0x1
1900,0x100,61.25,3.797,-5.668,0x1
2000,0x100,61.97,3.802,-5.965,0x1
2100,0x100,62.62,3.805,-5.194,0x1
2200,0x100,63.26,3.810,-5.594,0x1
2300,0x100,63.82,3.815,-5.982,0x1
2400,0x100,64.31,3.820,-6.187,0x1
2500,0x100,64.71,3.825,-6.087,0x1
2600,0x100,65.11,3.829,-5.577,0x1
2700,0x100,65.44,3.833,-5.721,0x1
2800,0x100,65.68,3.838,-5.559,0x1
2900,0x100,65.84,3.842,-6.178,0x1
3000,0x100,66.00,3.846,-5.202,0x1
3100,0x100,66.00,3.850,-5.472,0x1
3200,0x100,66.00,3.855,-5.742,0x1
3300,0x100,65.92,3.860,-5.059,0x1
3400,0x100,65.84,3.863,-5.912,0x1
3500,0x100,65.60,3.868,-5.999,0x1
3600,0x100,65.36,3.871,-5.729,0x1
3700,0x100,65.03,3.876,-5.106,0x1
3800,0x100,64.63,3.879,-5.664,0x1
3900,0x100,64.23,3.884,-5.268,0x1
4000,0x100,63.66,3.887,-5.808,0x1
4100,0x100,63.10,3.892,-5.050,0x1
4200,0x100,62.53,3.896,-6.200,0x1
4300,0x100,61.81,3.900,-5.938,0x1
4400,0x100,61.08,3.904,-5.664,0x1
4500,0x100,60.28,3.907,-5.712,0x1
4600,0x100,59.47,3.912,-5.555,0x0
4700,0x100,58.59,3.915,-5.294,0x0
4800,0x100,57.70,3.918,-5.154,0x0
4900,0x100,56.73,3.923,-5.333,0x0
5000,0x100,55.68,3.926,-5.316,0x0
5100,0x100,54.64,3.929,-5.350,0x0
5200,0x100,53.51,3.933,-5.830,0x0
5300,0x100,52.46,3.936,-5.050,0x0
5400,0x100,51.25,3.939,-5.342,0x0
5500,0x100,50.12,3.942,-5.067,0x0
5600,0x100,48.92,3.945,-6.108,0x0
5700,0x100,47.63,3.949,-5.468,0x0
5800,0x100,46.42,3.952,-5.324,0x0
5900,0x100,45.13,3.955,-5.276,0x0
6000,0x100,43.92,3.958,-5.185,0x0
6100,0x100,42.63,3.962,-5.786,0x0
6200,0x100,41.34,3.965,-5.782,0x0
6300,0x100,40.05,3.968,-5.869,0x0
6400,0x100,38.76,3.970,-6.169,0x0
6500,0x100,37.47,3.973,-5.869,0x0
6600,0x100,36.18,3.976,-5.747,0x0
6700,0x100,34.89,3.978,-5.708,0x0
6800,0x100,33.68,3.981,-5.869,0x0
6900,0x100,32.40,3.983,-5.982,0x0
7000,0x100,31.19,3.986,-5.847,0x0
7100,0x100,29.98,3.987,-5.590,0x0
7200,0x100,28.85,3.991,-6.039,0x0
7300,0x100,27.72,3.992,-5.917,0x0
7400,0x100,26.59,3.995,-5.651,0x0
7500,0x100,25.55,3.997,-5.141,0x0
7600,0x100,24.50,3.999,-6.091,0x0
7700,0x100,23.45,4.000,-5.028,0x0
7800,0x100,22.48,4.004,-5.024,0x0
7900,0x100,21.60,4.005,-5.799,0x0
8000,0x100,20.71,4.007,-5.241,0x0
8100,0x100,19.90,4.008,-5.533,0x0
8200,0x100,19.18,4.010,-5.207,0x0
8300,0x100,18.45,4.012,-5.664,0x0
8400,0x100,17.81,4.013,-5.660,0x0
